Entity,Code,Year,Number of people without access to safe sanitation (people)
Tajikistan,TJK,2006,7000557
Tajikistan,TJK,2007,7152385
Tajikistan,TJK,2008,7309728
Tajikistan,TJK,2009,7472819
Tajikistan,TJK,2010,7641630
Tajikistan,TJK,2011,7815949
Tajikistan,TJK,2012,7995062
Tajikistan,TJK,2013,8177809
Tajikistan,TJK,2014,8362745
Tajikistan,TJK,2015,8548651
Tunisia,TUN,2000,4102144.3
Tunisia,TUN,2001,4055580.204
Tunisia,TUN,2002,4004780.799
Tunisia,TUN,2003,3912922.017
Tunisia,TUN,2004,3820600.188
Tunisia,TUN,2005,3735496.271
Tunisia,TUN,2006,3650290.4
Tunisia,TUN,2007,3564554.814
Tunisia,TUN,2008,3477666.787
Tunisia,TUN,2009,3389009.479
Tunisia,TUN,2010,3297875.513
Tunisia,TUN,2011,3204159.789
Tunisia,TUN,2012,3107335.313
Tunisia,TUN,2013,3057592.34
Tunisia,TUN,2014,3009692.9
Tunisia,TUN,2015,3007154.498
Turkey,TUR,2000,48704310.63
Turkey,TUR,2001,49460024
Turkey,TUR,2002,50036915
Turkey,TUR,2003,50604815.81
Turkey,TUR,2004,50191748.93
Turkey,TUR,2005,49701824.45
Turkey,TUR,2006,49094035.27
Turkey,TUR,2007,48418131.58
Turkey,TUR,2008,47695178.3
Turkey,TUR,2009,46947324.77
Turkey,TUR,2010,46185385.52
Turkey,TUR,2011,45397763.83
Turkey,TUR,2012,44570521.68
Turkey,TUR,2013,43709894.71
Turkey,TUR,2014,42832940.67
Turkey,TUR,2015,43428488.67
Turkmenistan,TKM,2000,4516131
Turkmenistan,TKM,2001,4564080
Turkmenistan,TKM,2002,4610002
Turkmenistan,TKM,2003,4655741
Turkmenistan,TKM,2004,4703398
Turkmenistan,TKM,2005,4754641
Turkmenistan,TKM,2006,4810105
Turkmenistan,TKM,2007,4870137
Turkmenistan,TKM,2008,4935762
Turkmenistan,TKM,2009,5007950
Turkmenistan,TKM,2010,5087210
Turkmenistan,TKM,2011,5174061
Turkmenistan,TKM,2012,5267839
Turkmenistan,TKM,2013,5366277
Turkmenistan,TKM,2014,5466241
Turkmenistan,TKM,2015,5565284
Tuvalu,TUV,2001,8794.67887
Tuvalu,TUV,2002,8913.811906
Tuvalu,TUV,2003,9042.468948
Tuvalu,TUV,2004,9166.748601
Tuvalu,TUV,2005,9297.646182
Tuvalu,TUV,2006,9377.739034
Tuvalu,TUV,2007,9455.820601
Tuvalu,TUV,2008,9527.120702
Tuvalu,TUV,2009,9604.344671
Tuvalu,TUV,2010,9672.266583
Tuvalu,TUV,2011,9748.984219
Tuvalu,TUV,2012,9827.419155
Tuvalu,TUV,2013,9906.711643
Tuvalu,TUV,2014,10011.85021
Tuvalu,TUV,2015,10110.58233
Uganda,UGA,2000,24039274
Uganda,UGA,2001,24854892
Uganda,UGA,2002,25718048
Uganda,UGA,2003,26624820
Uganda,UGA,2004,27568436
Uganda,UGA,2005,28543940
Uganda,UGA,2006,29550662
Uganda,UGA,2007,30590487
Uganda,UGA,2008,31663896
Uganda,UGA,2009,32771895
Uganda,UGA,2010,33915133
Uganda,UGA,2011,35093648
Uganda,UGA,2012,36306796
Uganda,UGA,2013,37553726
Uganda,UGA,2014,38833338
Uganda,UGA,2015,40144870
Ukraine,UKR,2000,49175848
Ukraine,UKR,2001,48683865
Ukraine,UKR,2002,48202500
Ukraine,UKR,2003,47812950
Ukraine,UKR,2004,47451600
Ukraine,UKR,2005,47105150
Ukraine,UKR,2006,46787750
Ukraine,UKR,2007,46509350
Ukraine,UKR,2008,46258200
Ukraine,UKR,2009,46053300
Ukraine,UKR,2010,45870700
Ukraine,UKR,2011,45706100
Ukraine,UKR,2012,45593300
Ukraine,UKR,2013,45489600
Ukraine,UKR,2014,45271947
Ukraine,UKR,2015,45154029
United Arab Emirates,ARE,2000,330273.0602
United Arab Emirates,ARE,2001,344105.0114
United Arab Emirates,ARE,2002,360019.1438
United Arab Emirates,ARE,2003,377724.7961
United Arab Emirates,ARE,2004,396558.8976
United Arab Emirates,ARE,2005,415858.7409
United Arab Emirates,ARE,2006,435127.7873
United Arab Emirates,ARE,2007,454215.607
United Arab Emirates,ARE,2008,473069.3698
United Arab Emirates,ARE,2009,491965.538
United Arab Emirates,ARE,2010,511255.1743
United Arab Emirates,ARE,2011,531494.4507
United Arab Emirates,ARE,2012,552482.8698
United Arab Emirates,ARE,2013,572902.6977
United Arab Emirates,ARE,2014,590721.4859
United Arab Emirates,ARE,2015,604436.8378
United Kingdom,GBR,2000,1581308.91
United Kingdom,GBR,2001,1596551.059
United Kingdom,GBR,2002,1619288.779
United Kingdom,GBR,2003,1642904.082
United Kingdom,GBR,2004,1680414.098
United Kingdom,GBR,2005,1726648.908
United Kingdom,GBR,2006,1731979.633
United Kingdom,GBR,2007,1704813.07
United Kingdom,GBR,2008,1652456.42
United Kingdom,GBR,2009,1590907.964
United Kingdom,GBR,2010,1585246.276
United Kingdom,GBR,2011,1628092.334
United Kingdom,GBR,2012,1658275.688
United Kingdom,GBR,2013,1701411.91
United Kingdom,GBR,2014,1807694.959
United Kingdom,GBR,2015,1936329.032
United States,USA,2000,30174682.71
United States,USA,2001,30314672.1
United States,USA,2002,30505889.43
United States,USA,2003,30648008.35
United States,USA,2004,31011763.02
United States,USA,2005,31316579.92
United States,USA,2006,31672128.65
United States,USA,2007,31948759.56
United States,USA,2008,32217066.49
United States,USA,2009,32351972.06
United States,USA,2010,32479257.19
United States,USA,2011,32458684.5
United States,USA,2012,32574115.41
United States,USA,2013,32644761.63
United States,USA,2014,32881466.91
United States,USA,2015,33054133.02
Uruguay,URY,2000,1277307.582
Uruguay,URY,2001,1277686.663
Uruguay,URY,2002,1276137.209
Uruguay,URY,2003,1273555.228
Uruguay,URY,2004,1271266.114
Uruguay,URY,2005,1265701.984
Uruguay,URY,2006,1261723.453
Uruguay,URY,2007,1259067.076
Uruguay,URY,2008,1257388.796
Uruguay,URY,2009,1256099.475
Uruguay,URY,2010,1254766.869
Uruguay,URY,2011,1253330.779
Uruguay,URY,2012,1251931.409
Uruguay,URY,2013,1250641.034
Uruguay,URY,2014,1249530.061
Uruguay,URY,2015,1248637.521
Uzbekistan,UZB,2000,24650400
Uzbekistan,UZB,2001,24964450
Uzbekistan,UZB,2002,25271850
Uzbekistan,UZB,2003,25567650
Uzbekistan,UZB,2004,25864350
Uzbekistan,UZB,2005,26167000
Uzbekistan,UZB,2006,26488250
Uzbekistan,UZB,2007,26868000
Uzbekistan,UZB,2008,27302800
Uzbekistan,UZB,2009,27767400
Uzbekistan,UZB,2010,28562400
Uzbekistan,UZB,2011,29339400
Uzbekistan,UZB,2012,29774500
Venezuela,VEN,2000,20225412.81
Venezuela,VEN,2001,20574492.7
Venezuela,VEN,2002,20920791.13
Venezuela,VEN,2003,21264427.8
Venezuela,VEN,2004,21606135.91
Venezuela,VEN,2005,21945410.35
Venezuela,VEN,2006,22282190.34
Venezuela,VEN,2007,22616195.04
Venezuela,VEN,2008,22946743.88
Venezuela,VEN,2009,23272953.35
Venezuela,VEN,2010,23594160.58
Venezuela,VEN,2011,23909946.97
Venezuela,VEN,2012,24220329.7
Venezuela,VEN,2013,24526683.72
Venezuela,VEN,2014,24869456.95
Venezuela,VEN,2015,25209281.81
World,OWID_WRL,2000,4364517592
World,OWID_WRL,2001,4407179321
World,OWID_WRL,2002,4444632801
World,OWID_WRL,2003,4457557555
World,OWID_WRL,2004,4468273921
World,OWID_WRL,2005,4477023522
World,OWID_WRL,2006,4459639274
World,OWID_WRL,2007,4464373593
World,OWID_WRL,2008,4468483285
World,OWID_WRL,2009,4471210254
World,OWID_WRL,2010,4472475397
World,OWID_WRL,2011,4471962461
World,OWID_WRL,2012,4471845368
World,OWID_WRL,2013,4472724869
World,OWID_WRL,2014,4473226588
World,OWID_WRL,2015,4472721981
